Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 4.860576, 4.675806, 3.990073, 0.444059, -0.687592, 0.833758, 6.065796, 
50, 4.880719, 4.671710, 4.010628, 0.411106, -0.659062, 0.570594, 6.099370, 
50, 4.899401, 4.668533, 4.029578, 0.379005, -0.642011, 0.341016, 6.130066, 
50, 4.916597, 4.666124, 4.046943, 0.347291, -0.634293, 0.154364, 6.157824, 
50, 4.932277, 4.664346, 4.062723, 0.315608, -0.633654, 0.012784, 6.182636, 
50, 4.946406, 4.663077, 4.076909, 0.283709, -0.637983, -0.086577, 6.204539, 
50, 4.958948, 4.662209, 4.089480, 0.251436, -0.645450, -0.149354, 6.223593, 
50, 4.969869, 4.661647, 4.100416, 0.218708, -0.654562, -0.182227, 6.239870, 
50, 4.979138, 4.661308, 4.109691, 0.185501, -0.664149, -0.191752, 6.253447, 
50, 4.986727, 4.661124, 4.117283, 0.151834, -0.673336, -0.183739, 6.264398, 
50, 4.992614, 4.661038, 4.123171, 0.117760, -0.681486, -0.162994, 6.272789, 
50, 4.996782, 4.661007, 4.127338, 0.083352, -0.688152, -0.133325, 6.278673, 
50, 4.999217, 4.661000, 4.129773, 0.048700, -0.693035, -0.097657, 6.282090, 
50, 5.000000, 4.661000, 4.130556, 0.015662, -0.660763, 0.645440, 6.283185, 
50, 5.000000, 4.661000, 4.130556, 0.000000, -0.313247, 6.950330, 6.283185, 
